fileid|datesaved|posttitle|artist|song
648379|10/1/2008 3:16|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Dead Drunk & Naked
648380|10/1/2008 3:17|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|The Company I Keep
648381|10/1/2008 3:17|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Ghost to Most
648382|10/1/2008 3:17|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Righteous Path
648383|10/1/2008 3:18|Sexy Neon Disco-Buddy|Buddy Akai|Your Circle (Disco Villains Remix)
648384|10/1/2008 3:19|Sexy Neon Disco-Buddy|Noise Beat Propaganda|Sexy Neon Wine (DV's Re-Make)
648385|10/1/2008 3:19|The Knux // Bang Bang (Mp3’s + Video)|The KnuX|Cappuccino MAIN (Produced by The KnuX)
648386|10/1/2008 3:20|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Checkout in Vegas
648387|10/1/2008 3:20|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Uncle Frank
648388|10/1/2008 3:39|Paul Weller - That’s Entertainment (Live)|Paul Weller|That's Entertainment
648389|10/1/2008 3:40|A little bit of history 3|Ben Westbeech|Stop What You're Doing
648390|10/1/2008 3:44|A little bit of history 3|Battles|Race:in
648391|10/1/2008 3:46|A little bit of history 3|Pink Martini|Bukra Wba'do
648392|10/1/2008 3:48|A little bit of history 3|Bullwackies All Stars|Free For All
648393|10/1/2008 3:50|A little bit of history 3|Adjgas|Dolgemtki
648394|10/1/2008 3:51|A little bit of history 3|Marbert Rocel|Cornflakeboy
648395|10/1/2008 3:51|A little bit of history 3|Goran Bregovic|Ederlezi (Scena Durdevdana Na Rijeci)
648396|10/1/2008 3:52|Los Angeles Loves... Another Night at The Bordello|Summer Darling|Ride This Wave of Good Feelings
648397|10/1/2008 3:52|Los Angeles Loves... Another Night at The Bordello|Spirit Vine|Blackhoof
648398|10/1/2008 3:52|Los Angeles Loves... Another Night at The Bordello|Shiloe|Gone
648399|10/1/2008 3:53|Los Angeles Loves... Another Night at The Bordello|Ojos Rojos|Step Outside
648400|10/1/2008 3:53|Finnish Fusion|Kiki Pau|Your Bedroom
648401|10/1/2008 3:54|Finnish Fusion|Kiki Pau|Going Steady
648402|10/1/2008 3:54|A little bit of history 3|Adjgas|Guoros Fatnasat
648403|10/1/2008 3:54|déstockage massif|TV on the Radio|Province (live acoustic radio session)
648404|10/1/2008 3:55|Still A Little Tender|Guns N' Roses|Don't Cry [Original Version]
648405|10/1/2008 3:55|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Self Destructive Zones
648406|10/1/2008 3:56|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Huston
648407|10/1/2008 3:58|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Marry Me
648408|10/1/2008 3:58|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Sinkhole
648409|10/1/2008 3:59|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Lookout Mountain
648410|10/1/2008 3:59||Bikini Kill|Feels Blind
648411|10/1/2008 4:01|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|People on the Moon
648412|10/1/2008 4:02|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Gravity's Gone
648413|10/1/2008 4:03|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|People who Died
648414|10/1/2008 4:04|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Tuning
648415|10/1/2008 4:05|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Rockin in the Free World
648416|10/1/2008 4:06|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|Guitar Man Upstairs
648417|10/1/2008 4:08|Bootleg Justice: Drive-By Truckers Live @ Charlottesville Pavillion in Charlottesville, VA (9.20.2008)|Drive-By Truckers|I'm Eighteen
648418|10/1/2008 4:09|Cumbia!!! Well, Sort of!!|Sonido Del Principe|Cartagena
648419|10/1/2008 4:10|Long Shots :: Don Chambers & Patterson Hood|Patterson Hood|Heavy and Hanging
648420|10/1/2008 4:10|Long Shots :: Don Chambers & Patterson Hood|Don Chambers And Goat|Pig Luck
648421|10/1/2008 4:11|Baby Diamonds - Alaskan Thunderfuck|Baby Diamonds|Alaskan Thunderfuck
648422|10/1/2008 4:12|Trouble Sleeping?||492896
648423|10/1/2008 4:12|The Decline of Civilization, Part II|Tom Petty & The Heartbreakers|Room At The Top
648424|10/1/2008 4:12|The Decline of Civilization, Part II|Lisa Germano|Around The World
648425|10/1/2008 4:13|Keith Richards // The Harder They Come|Keith Richards|The Harder The Come (Jimmy Cliff Cover)
648426|10/1/2008 4:13|The Count and Sinden, Rye Rye, Don Rimini|The Count & Sinden|Hardcore Girls (Feat. Rye Rye) (Don Rimini Remix)
648427|10/1/2008 4:14|Lisa Cerbone|Lisa Cerbone|Tiny Patch of Earth
648428|10/1/2008 4:14|ACTION - POWER - ENTERTAINMENT - FUTURECOP|Futurecop|NASA (Cryptonites Remix)
648429|10/1/2008 4:14|New Album Releases For Tuesday 9/30/2008|James Morrison|You Give Me Something
648430|10/1/2008 4:15||Terry Poison|Synthetic Harmonizer - Don Rimini Remix
648431|10/1/2008 4:15||Terry Poison|Ballroom - Data Remix
648432|10/1/2008 4:21|PAPER PLANES FLYING IN BRRRLN|Lapse|Visions Of
648433|10/1/2008 4:21|PAPER PLANES FLYING IN BRRRLN|Lapse|Punks
648434|10/1/2008 5:13|Wonderfulsound #7|The Sea|Sea Organ, Zadar
648435|10/1/2008 5:19|Mash-Up Morgoth's B-Day!!!|DJ Morgoth|Mash-Up Your Bootz Party, The Dancing Pogo Is Killing Me [Planetakis vs. 30 Seconds To Mars]
648436|10/1/2008 5:19|Gladshot|Gladshot|He Was Gone
648437|10/1/2008 5:30|neue töne (423): tracy shedd|Tracy Shedd|Opposites Attract MP3
648438|10/1/2008 5:30|DO THE VOODOO|Castor Pollux|Voodoo
648439|10/1/2008 5:31|Blatta Inesha - blow up (Hijack Remix)|blatta  inesha|blow up hijack remix
648440|10/1/2008 5:31|neue töne (423): tracy shedd|Tracy Shedd|Faint Pale Smiles
648441|10/1/2008 5:32|D’Amico, di vizi, di forma, virtù|Dargen D'Amico|Intervista
648442|10/1/2008 5:34|Sixeyes Wednesday Mix: Oct. 1st|The Strokes|Clampdown (Live Cover)
648443|10/1/2008 5:36|neue töne (423): tracy shedd|Tracy Shedd|Conley MP3
648444|10/1/2008 6:11|Vic Chesnutt Gains Some Elf Power|Vic Chesnutt (with Elf Power)|Teddy Bear
648445|10/1/2008 6:12|Vic Chesnutt Gains Some Elf Power|Vic Chesnutt (with Elf Power)|Mystery
648446|10/1/2008 6:12|Vic Chesnutt Gains Some Elf Power|Vic Chesnutt (with Elf Power)|And How
648447|10/1/2008 6:15|Nothing but music - the endless post?|Snowden|Anti-Anti
648452|10/1/2008 6:16|The Hermit Crabs|Hermit Crabs|Friend's Folk Festival
648453|10/1/2008 6:16|Bebo Valdés live at the Village Vanguard|Bebo Valdes & Javier Colina|Sabor A Mi
648454|10/1/2008 6:17|Bebo Valdés live at the Village Vanguard|Bebo Valdes & Javier Colina|Waltz For Debby (Bill Evans cover)
648455|10/1/2008 6:18|Bebo Valdés live at the Village Vanguard|Bill Evans|Waltz for Debby (Take 1)
648456|10/1/2008 6:18|A CHILLING BON IVER PERFORMANCE|Bon Iver|for emma
648457|10/1/2008 6:28|Something's Odd|Ben Folds|Cologne
648458|10/1/2008 6:29|CSS: Rat is dead|CSS|CSS: Rat Is Dead
648459|10/1/2008 6:29|CSS: Rat is dead|CSS|CSS: Rat Is Dead
648460|10/1/2008 6:29|Sixeyes Wednesday Mix: Oct. 1st|The Liars|Mr. You're On Fire Mr.
648461|10/1/2008 6:30|Sixeyes Wednesday Mix: Oct. 1st|Bjrk @ 31 Flebari|Earth Intruders
648462|10/1/2008 6:30|Sixeyes Wednesday Mix: Oct. 1st|Jackie Leven|Single Father
648463|10/1/2008 6:31|Sixeyes Wednesday Mix: Oct. 1st|TheLucksmiths|T-Shirt Weather
648464|10/1/2008 6:31|Sixeyes Wednesday Mix: Oct. 1st|Various Artists|Something in the Air - Thunderclap Newman
648465|10/1/2008 6:31|Sixeyes Wednesday Mix: Oct. 1st|nick cave|Let The Bells Ring
648466|10/1/2008 6:32|Sixeyes Wednesday Mix: Oct. 1st|Suburban Kids With Biblical Names|Trumpets And Violins
648467|10/1/2008 6:32|TLOBF’s Monthly Mix Tape: October Edition [Download]|Jenny Lewis|Acid Tongue
648468|10/1/2008 6:33|TLOBF’s Monthly Mix Tape: October Edition [Download]|The Miserable Rich|The Knife Thrower's Hand
648469|10/1/2008 6:33|TLOBF’s Monthly Mix Tape: October Edition [Download]|Victoria and Jacob|Clash
648470|10/1/2008 6:34|TLOBF’s Monthly Mix Tape: October Edition [Download]|Shoreline|Daybreak
648471|10/1/2008 6:34|TLOBF’s Monthly Mix Tape: October Edition [Download]|Fujiya & Miyagi|Dishwasher
648472|10/1/2008 6:35|TLOBF’s Monthly Mix Tape: October Edition [Download]|High Places|From Stardust To Sentience
648473|10/1/2008 6:35|TLOBF’s Monthly Mix Tape: October Edition [Download]|Micah P. Hinson|Tell Me It Ain't So
648474|10/1/2008 6:36|TLOBF’s Monthly Mix Tape: October Edition [Download]|The Standard|Hotel
648475|10/1/2008 6:37|TLOBF’s Monthly Mix Tape: October Edition [Download]|Dungen|Stt Att Se
648476|10/1/2008 6:37|TLOBF’s Monthly Mix Tape: October Edition [Download]|The Dudes|Fist
648477|10/1/2008 6:37|TLOBF’s Monthly Mix Tape: October Edition [Download]|The Spinto Band|Pumpkins And Paisley
648478|10/1/2008 6:38|TLOBF’s Monthly Mix Tape: October Edition [Download]|Crystal Antlers|A Thousand Eyes
648479|10/1/2008 6:38|de:pot # introvertiert ep|de:pot|head up
648480|10/1/2008 6:39|de:pot # introvertiert ep|de:pot|instinctiv
648481|10/1/2008 6:40|de:pot # introvertiert ep|de:pot|fatworld
648482|10/1/2008 6:40|de:pot # introvertiert ep|www.auflegware.de|Auflegware Podcast 024
648483|10/1/2008 6:41|de:pot # introvertiert ep|de:pot|channel b
648484|10/1/2008 6:41|de:pot # introvertiert ep|de:pot|with miez you can
648485|10/1/2008 6:42|Show Recap: My Bloody Valentine [Aragon Ballroom, Chicago, 9/27/08]|My Bloody Valentine|Blown A Wish
648486|10/1/2008 6:43|Show Recap: My Bloody Valentine [Aragon Ballroom, Chicago, 9/27/08]|My Bloody Valentine|When You Sleep
648487|10/1/2008 7:10|What is going on in Sweden? doublePark moves to the city|doublePark|Moving to the city
648488|10/1/2008 7:11|What is going on in Sweden? doublePark moves to the city|doublePark|I don't want to party
648489|10/1/2008 7:11||Mates Of State|My Only Offer
648490|10/1/2008 7:12||Broken Social Scene|Stars And Sons
648491|10/1/2008 7:13||I Love You|04 bloodletting mp3
648492|10/1/2008 7:13|Best of 2008: The Oaks|The OaKs|Old Bones
648493|10/1/2008 7:13|Best of 2008: The Oaks|The OaKs|Masood
648494|10/1/2008 7:14|Radiohead + Bmore|Radiohead|Reckoner (LoveTongueAttack Bmore Remix)
648495|10/1/2008 7:14|off the groove|Ronald Snijders|Off The Groove
648496|10/1/2008 7:15|Thanks City Paper & Baltimore!|DJ Excel|THATS WHAT A PIMP DOES (Obama Remix)
648497|10/1/2008 7:16|Thanks City Paper & Baltimore!|Ponytail|Sky Drool
648498|10/1/2008 7:17|Thanks City Paper & Baltimore!|Mullyman|Party Walk
648499|10/1/2008 7:17|Thanks City Paper & Baltimore!|Wye Oak|If Children Were Wishes
648500|10/1/2008 7:39|Don Rimini in Dublin tonight...|The Count & Sinden|Hardcore Girls (Feat. Rye Rye) (Don Rimini Remix)
648501|10/1/2008 7:39|Astronautalis - The Wondersmith and his sons|Astronautalis|The Wondersmith And His Sons
648502|10/1/2008 7:40|My Kids Are Better Than Your Kids (And Here’s Why)|Chris Flew|The Truth About Cats And Dogs
648503|10/1/2008 7:46|Just Needed Time - Cars vs. DJ Antoine|The Cars VS DJ Antoine|Just Needed Time
648504|10/1/2008 7:50|Daily Downloads (Okkervil River, Department of Eagles, and more)|Johnny Foreigner|Salt, Pepa And Spinderella
648505|10/1/2008 7:50|Daily Downloads (Okkervil River, Department of Eagles, and more)|The Gay Blades|Hey She Say
648506|10/1/2008 7:51|Daily Downloads (Okkervil River, Department of Eagles, and more)|Drew Danburry|Track 02
648507|10/1/2008 7:55|Bottom Feeders: The Ass End of the ’80s, Part 27|Duran Duran|Do You Believe In Shame
648508|10/1/2008 7:55|Bottom Feeders: The Ass End of the ’80s, Part 27|Bob Dylan|Sweetheart Like You
648509|10/1/2008 7:56|Al Oster and the Frozen North|next|Next Boat - Al Oster
648510|10/1/2008 7:56|Bottom Feeders: The Ass End of the ’80s, Part 27|Duran Duran|Meet El Presidente
648511|10/1/2008 7:56|Al Oster and the Frozen North||Midnight Sun Rock - Al Oster
648512|10/1/2008 7:57|Okkervil River, Live on KEXP|Okkervil River|Calling And Not Calling My Ex
648513|10/1/2008 7:57|THE HUB: Wednesday, October 1, 2008|Sam Champion|Be Mine Everyone
648514|10/1/2008 7:57|Okkervil River, Live on KEXP|Okkervil River|Lost Coastlines
648515|10/1/2008 7:58|THE HUB: Wednesday, October 1, 2008|Dark Dark Dark|New York Song
648516|10/1/2008 7:58|THE HUB: Wednesday, October 1, 2008|DJ Schmolli|Kung Fu Jumping
648517|10/1/2008 7:59|At Constant Speed|CSS|Rat Is Dead
648518|10/1/2008 7:59|THE HUB: Wednesday, October 1, 2008|Local Natives|Airplanes
648519|10/1/2008 8:00|BandBase...|VETO|You Are A Knife
648520|10/1/2008 8:00|BandBase...|Ehlers Thejsen|Art of Loneliness
648521|10/1/2008 8:00|BandBase...|Skywriter|Craving Utopia
648522|10/1/2008 8:01|BandBase...|ENTAKT|Kunsten At Slippe Taget
648523|10/1/2008 8:01|BandBase...|Leisure Alaska|Present Yet Unseen
648524|10/1/2008 8:01|BandBase...|Windermere|Trailer Park
648525|10/1/2008 8:02|Okkervil River, Live on KEXP|Okkervil River|Pop Lie
648526|10/1/2008 8:02|THE ONE WHO PLAYS THE BASS & SINGS|Hugo Welther|Up in the sky
648527|10/1/2008 8:02|Pale Young Gentlemen :: Black Forrest (Tra La La)|Pale Young Gentlemen|The Crook Of My Good Arm
648528|10/1/2008 8:03|[Hypeworthy] CALLmeKAT|CALLmeKAT|Bug in A Web
648529|10/1/2008 8:03|[Hypeworthy] CALLmeKAT|CALLmeKAT|Flower In the Night
648530|10/1/2008 8:03|Bottom Feeders: The Ass End of the ’80s, Part 27|Duke Jupiter|Little Lady
648531|10/1/2008 8:03|Bottom Feeders: The Ass End of the ’80s, Part 27|Dynasty|I've Just Begun To Love You
648532|10/1/2008 8:03|Bottom Feeders: The Ass End of the ’80s, Part 27|Robbie Dupree|Brooklyn Girls
648533|10/1/2008 8:04|Bottom Feeders: The Ass End of the ’80s, Part 27|Duke Jupiter|I'll Drink To You
648534|10/1/2008 8:04|Bottom Feeders: The Ass End of the ’80s, Part 27|George Duke|Shine On
648535|10/1/2008 8:05|Date Appropriate Songs ∞ Back To Work|Gene Autry|Back In The Saddle Again
648536|10/1/2008 8:05|Date Appropriate Songs ∞ Back To Work|Gene Autry|Back In The Saddle Again
648537|10/1/2008 8:05|Wayback Wednesdays|Jill Barber|Hard Line
648538|10/1/2008 8:05|Wayback Wednesdays|Jill Barber|Hard Line
648539|10/1/2008 8:06|My Favorite Song This Week|Eric Hutchinson|Rock & Roll
648540|10/1/2008 8:06|My Favorite Song This Week|Eric Hutchinson|Rock & Roll
648541|10/1/2008 8:07|yé-yé week - wednesday|Christine Delaroche|La Fille Du Soleil
648542|10/1/2008 8:09|Musik, Musik, Musik|Goodtimes Goodtimes|For All My Kingdom
648543|10/1/2008 8:11|Blast from the Past: They Might Be Giants' Flood|They Might Be Giants|Your Racist Friend
648544|10/1/2008 8:12|Blast from the Past: They Might Be Giants' Flood|They Might Be Giants|Whistling In The Dark
648545|10/1/2008 8:12|Blast from the Past: They Might Be Giants' Flood|They Might Be Giants|Birdhouse In Your Soul
648546|10/1/2008 8:12|Blast from the Past: They Might Be Giants' Flood|They Might Be Giants|Particle Man
648547|10/1/2008 8:12|Blast from the Past: They Might Be Giants' Flood|They Might Be Giants|Istanbul (Not Constantinople)
648548|10/1/2008 9:23|Wednesday EP|Gringo Star|All Yall
648549|10/1/2008 9:24|Wednesday EP|The Age Of Rockets|Elephant & Castle
648550|10/1/2008 9:25|Fill this part in|Marnie Stern|Transformer
648551|10/1/2008 9:26|Word on the Beat:: Oldfolks Home vs Broken Social Scene|Broken Social Scene|Cause  Time
648552|10/1/2008 9:26|Word on the Beat:: Oldfolks Home vs Broken Social Scene|Oldfolks Home|Whole Wheat Flour//Cause Time
648553|10/1/2008 9:33|The Ethiopians (Old School ska / reggae for fans of Desmond Dekker, Bob Marley, Toots and the Maytals)|The Ethiopians|Things A Get Bad To Worse
648554|10/1/2008 9:33|The Ethiopians (Old School ska / reggae for fans of Desmond Dekker, Bob Marley, Toots and the Maytals)|The Ethiopians|Train To Skaville
648555|10/1/2008 9:34|Help Yourself &#8220;Help Yourself&#8221;|Help Yourself|Paper Leaves
648556|10/1/2008 9:34|Say Hi - The Wishes and the Glitch|Say Hi|We Lost The Albatross
648557|10/1/2008 9:34|Help Yourself &#8220;Help Yourself&#8221;|Help Yourself|Your Eyes Are Looking Down
648558|10/1/2008 9:34|Say Hi - The Wishes and the Glitch|Say Hi|Northwestern Girls
648559|10/1/2008 9:34|Say Hi - The Wishes and the Glitch|Say Hi|Northwestern Girls
648560|10/1/2008 9:34|Artist Spotlight: Hurray For The Riff Raff|Hurray for the Riff Raff|Meet Me In The Morning
648561|10/1/2008 9:35|Artist Spotlight: Hurray For The Riff Raff|Hurray for the Riff Raff|Daniella
648562|10/1/2008 9:35|Artist Spotlight: Hurray For The Riff Raff|Hurray for the Riff Raff|Dance With Death
648563|10/1/2008 9:35|Artist Spotlight: Hurray For The Riff Raff|Hurray for the Riff Raff|Amelia's Song
648564|10/1/2008 9:35|Artist Spotlight: Hurray For The Riff Raff|Hurray for the Riff Raff|Junebug Waltz
648565|10/1/2008 9:35|Artist Spotlight: Hurray For The Riff Raff|Hurray for the Riff Raff|Fly Away
648566|10/1/2008 9:35|Artist Spotlight: Hurray For The Riff Raff|Hurray for the Riff Raff|Skin & Bones
648567|10/1/2008 9:38|Live review: Frightened Rabbit & We Were Promised Jetpacks @ The Arches, Glasgow|Frightened Rabbit|Old Old Fashioned (Liver! Lung! FR! live album)
648568|10/1/2008 9:38|Common, Pharrell, Playdoe, XR2, Get the Hydroz Touch|Playdoe|It's That Beat - Hydroz Electro Bass Remix
648569|10/1/2008 9:38|Wax Stag|Wax Stag|Short Road (Night Facilities Remix)
648570|10/1/2008 9:39|Wax Stag|Wax Stag|Short Road ()
648571|10/1/2008 9:39|Common, Pharrell, Playdoe, XR2, Get the Hydroz Touch|Hydroz|XR2 REMIX
648572|10/1/2008 9:40|Common, Pharrell, Playdoe, XR2, Get the Hydroz Touch|Crookers|Yeah OK - Hydroz Bass-O-Matic Mix
648573|10/1/2008 9:42|Juliette|Juliette|Until Its Time For You To Go
648574|10/1/2008 9:45|TVD First Date // ...with Drew Smith's Lonely Choir|Drew Smith|Nilsson Sings Newman
648575|10/1/2008 9:46|TVD First Date // ...with Drew Smith's Lonely Choir|Drew Smith|NYC Song
648576|10/1/2008 9:46|TVD First Date // ...with Drew Smith's Lonely Choir|Drew Smith|Travel My Dark Road
648577|10/1/2008 9:47|News: Dirty Pretty Things break up; address immediate questions about Libertines|The Libertines|Time For Heroes
648578|10/1/2008 9:48|TVD's Daily Wax|Generation X|Ready Steady Go
648579|10/1/2008 9:48|TVD's Daily Wax|Gang Of Four|Love Like Anthrax
648580|10/1/2008 9:49|The Run Down - Wednesday October 1, 2008|Pinback|B
648581|10/1/2008 9:49|The Run Down - Wednesday October 1, 2008|Panther|Total Sexy Church
648582|10/1/2008 9:50|The Run Down - Wednesday October 1, 2008|Noble Lake|The Galley
648583|10/1/2008 9:51|TVD's Daily Wax|The Cure|Boys Don't Cry
648584|10/1/2008 9:51|The Run Down - Wednesday October 1, 2008|Small Sur|Sea Stones
648585|10/1/2008 9:52|TVD's Daily Wax|Ian Dury & The Blockheads|Sex & Drugs & Rock & Roll
