ssnumber|songid|post_title|song_artist|song_title
024350071592|13722814|MIGHTY TO SAVE|NEWSBOYS|MIGHTY TO SAVE
024350071592|18282853|YOUR LOVE NEVER FAILS|NEWSBOYS|YOUR LOVE NEVER FAILS
024350678532|17136636|10,000 REASONS (BLESS THE LORD)|MATT REDMAN|10,000 REASONS (BLESS THE LORD)
024350678532|16949422|NEVER ONCE|MATT REDMAN|NEVER ONCE
024350678532|17136633|WE ARE THE FREE|MATT REDMAN|WE ARE THE FREE
024350946364|12661141|OUR GOD|CHRIS TOMLIN|OUR GOD
024350946364|437601|HOW GREAT IS OUR GOD|CHRIS TOMLIN|HOW GREAT IS OUR GOD
024350946364|3839547|AMAZING GRACE|CHRIS TOMLIN|AMAZING GRACE
024350946365|18047715|O HOLY NIGHT|DAVID BAND CROWDER|O HOLY NIGHT
024350946365|18047711|THE FIRST NOEL|DAVID BAND CROWDER|THE FIRST NOEL
024350946365|18047714|O COME, O COME, EMMANUEL|DAVID BAND CROWDER|O COME, O COME, EMMANUEL
024390710462|5045855|TELL ME 'BOUT IT|JOSS STONE|TELL ME 'BOUT IT
024390710462|434976|YOU HAD ME|JOSS STONE|YOU HAD ME
024390710462|412619|SUPER DUPER LOVE (ARE YOU DIGG|JOSS STONE|SUPER DUPER LOVE (ARE YOU DIGG
024390907391|16190777|SICK|ADELITAS WAY|SICK
024390907391|16377651|THE COLLAPSE|ADELITAS WAY|THE COLLAPSE
024390907391|16711001|CRITICIZE|ADELITAS WAY|CRITICIZE
026990220249|750574|RENEGADE|STYX|RENEGADE
026990220249|750565|CRYSTAL BALL|STYX|CRYSTAL BALL
026990220249|750569|BOAT ON THE RIVER|STYX|BOAT ON THE RIVER
027860254155|15435647|LLUEVE EL AMOR|TITO EL  BAMBINO|LLUEVE EL AMOR
027860254155|17179761|SóLO PIENSO EN Tí|JERRY RIVERA|SóLO PIENSO EN Tí
027860254155|9774193|QUIEN DE LOS DOS|JERRY RIVERA|QUIEN DE LOS DOS
027860254174|17653832|PROMETISTE|PEPE AGUILAR|PROMETISTE
027860254174|16377329|NI CONTIGO, NI SIN TI|PEPE AGUILAR|NI CONTIGO, NI SIN TI
027860254174|17653834|YO SIN TI|PEPE AGUILAR|YO SIN TI
039371624002|18162651|LO DUDO|CRISTIAN CASTRO|LO DUDO
039371624002|18345506|PRESO|CRISTIAN CASTRO|PRESO
039371624002|18345538|DESESPERADO|CRISTIAN CASTRO|DESESPERADO
044000331403|18694338|POWER|JUVENILE FEAT. RICK ROSS|POWER
044000331403|20156714|AHH HAA|JUVENILE|AHH HAA
044000331403|20156709|CAN'T STOP MY MONEY|JUVENILE|CAN'T STOP MY MONEY
044000431475|17722214|REVELATION ROAD|SHELBY LYNNE|REVELATION ROAD
044000431475|18283552|LEAD ME LOVE|SHELBY LYNNE|LEAD ME LOVE
044000431475|18283584|HEAVEN'S ONLY DAYS DOWN THE RO|SHELBY LYNNE|HEAVEN'S ONLY DAYS DOWN THE RO
044000631408|580897|RIGHT HERE WAITING|RICHARD MARX|RIGHT HERE WAITING
044000631408|580895|ENDLESS SUMMER NIGHTS|RICHARD MARX|ENDLESS SUMMER NIGHTS
044000631408|2455641|HOLD ON TO THE NIGHTS|RICHARD MARX|HOLD ON TO THE NIGHTS
045770087178|17537314|RADIOSURGERY|NEW FOUND GLORY|RADIOSURGERY
045770087178|18108654|ANTHEM FOR THE UNWANTED|NEW FOUND GLORY|ANTHEM FOR THE UNWANTED
045770087178|18048038|SUMMER FLING, DON'T MEAN A THI|NEW FOUND GLORY|SUMMER FLING, DON'T MEAN A THI
045980000300|16659156|DON'T SIT DOWN 'CAUSE I'VE MOVED YOUR CHAIR|ARCTIC MONKEYS|DON'T SIT DOWN 'CAUSE I'VE MOVED YOUR CHAIR
045980000300|16949592|BLACK TREACLE|ARCTIC MONKEYS|BLACK TREACLE
045980000300|16949600|SUCK IT AND SEE|ARCTIC MONKEYS|SUCK IT AND SEE
047100180283|17324841|WE CAN MAKE THE WORLD STOP|GLITCH MOB|WE CAN MAKE THE WORLD STOP
047100180283|17324842|WARRIOR CONCERTO|THE GLITCH MOB|WARRIOR CONCERTO
047100180283|17324843|PALACE OF THE INNOCENTS|THE GLITCH MOB|PALACE OF THE INNOCENTS
050080072394|17059242|LOVE YOU LIKE A LOVE SONG|SELENA  GOMEZ & THE SCENE|LOVE YOU LIKE A LOVE SONG
050080072394|16247100|WHO SAYS|SELENA  GOMEZ & THE SCENE|WHO SAYS
050080072394|17237818|HIT THE LIGHTS|SELENA  GOMEZ & THE SCENE|HIT THE LIGHTS
050080271691|17001752|YOU MIGHT THINK|WEEZER|YOU MIGHT THINK
050080271691|17001680|COLLISION OF WORLDS|BRAD PAISLEY & ROBBIE WILLIAMS|COLLISION OF WORLDS
050080271691|17001885|NOBODY'S FOOL|BRAD PAISLEY|NOBODY'S FOOL
050080572407|413127|BOHEMIAN RHAPSODY|QUEEN|BOHEMIAN RHAPSODY
050080572407|413229|YOU'RE MY BEST FRIEND|QUEEN|YOU'RE MY BEST FRIEND
050080572407|413274|LOVE OF MY LIFE|QUEEN|LOVE OF MY LIFE
051090270768|5756801|CALLING|STRUNG OUT|CALLING
051090270768|2532146|ANALOG|STRUNG OUT|ANALOG
051090270768|2038620|VELVET ALLEY|STRUNG OUT|VELVET ALLEY
051610006611|17892790|CARIBE|SPYRO GYRA|CARIBE
051610006611|17892798|ANTIGUA|SPYRO GYRA|ANTIGUA
051610006611|17892792|SWEET OLE THANG|SPYRO GYRA|SWEET OLE THANG
055470930020|10235694|YO NO SE MANANA|LUIS ENRIQUE|YO NO SE MANANA
055470930020|16315173|DAME DE TU BOCA|LUIS ENRIQUE|DAME DE TU BOCA
055470930020|17179786|LOCOS LOS 2|LUIS ENRIQUE|LOCOS LOS 2
060691578202|17059511|RISE ABOVE 1|REEVE CARNEY FEAT. BONO & THE EDGE|RISE ABOVE 1
060691578202|17059519|RISE ABOVE PART 2|REEVE CARNEY FEAT. T.V. CARPIO & JENNIFER DAMIANO  |RISE ABOVE PART 2
060691578202|17059510|BOY FALLS FROM THE SKY|REEVE CARNEY|BOY FALLS FROM THE SKY
060691585802|14191216|MIRRORS|NATALIA  KILLS|MIRRORS
060691585802|16425257|WONDERLAND|NATALIA KILLS|WONDERLAND
060691585802|12186052|ZOMBIE|NATALIA KILLS|ZOMBIE
060691599602|14404955|MY GIRL|MINDLESS BEHAVIOR|MY GIRL
060691599602|16643851|MRS. RIGHT|MINDLESS BEHAVIOR|MRS. RIGHT
060691599602|17970691|GIRLS TALKIN BOUT|MINDLESS BEHAVIOR|GIRLS TALKIN BOUT
060691619402|3144422|'TILL I COLLAPSE|EMINEM|'TILL I COLLAPSE
060691619402|16866096|FAST LANE|BAD MEETS EVIL|FAST LANE
060691619402|1485689|ALL OF MY DAYS|ALEXI MURDOCH|ALL OF MY DAYS
066990301592|18413040|JUST THE WAY YOU ARE|PIERCE THE VEIL|JUST THE WAY YOU ARE
066990301592|18413044|F**K YOU|SLEEPING WITH SIRENS|F**K YOU
066990301592|18413041|LITTLE LION MAN|TONIGHT ALIVE|LITTLE LION MAN
073950210273|16536118|FOR THE OUTLAWZ|MOONSHINE BANDITS|FOR THE OUTLAWZ
073950210273|16536127|GET LOOSE|MOONSHINE BANDITS FEAT. DERRTY D|GET LOOSE
073950210273|16536120|MY KIND OF COUNTRY|MOONSHINE BANDITS|MY KIND OF COUNTRY
074640744572|14945031|PUMPED UP KICKS|FOSTER THE PEOPLE|PUMPED UP KICKS
074640744572|16320302|DON'T STOP (COLOR ON THE WALLS|FOSTER THE PEOPLE|DON'T STOP (COLOR ON THE WALLS
074640744572|15802266|HELENA BEAT|FOSTER THE PEOPLE|HELENA BEAT
075640209144|17683096|MONEY|DRUMS|MONEY
075640209144|17806512|DAYS|DRUMS|DAYS
075640209144|17806513|WHAT YOU WERE|DRUMS [3]|WHAT YOU WERE
075670099702|16458381|YOU ARE A TOURIST|DEATH CAB FOR CUTIE|YOU ARE A TOURIST
075670099702|16458391|STAY YOUNG, GO DANCING|DEATH CAB FOR CUTIE|STAY YOUNG, GO DANCING
075670099702|16384151|UNDERNEATH THE SYCAMORE|DEATH CAB FOR CUTIE|UNDERNEATH THE SYCAMORE
075670199683|16321369|LUCKY|MARC BROUSSARD|LUCKY
075670199683|16321368|ONLY EVERYTHING|MARC BROUSSARD|ONLY EVERYTHING
075670199683|17136814|CRUEL|MARC BROUSSARD|CRUEL
075670528525|17918748|THE GAMBLER|BUSY SIGNAL|THE GAMBLER
075670528525|17918740|THE CHAIR|TARRUS RILEY|THE CHAIR
075670528525|17918743|DON'T IT MAKE MY BROWN EYES BL|TESSANNE CHIN|DON'T IT MAKE MY BROWN EYES BL
075670899698|17392981|PUT DOWN THE DRINK|EMPHATIC|PUT DOWN THE DRINK
075670899698|16384148|BOUNCE|EMPHATIC|BOUNCE
075670899698|17392980|GET PAID|EMPHATIC|GET PAID
075670999677|13294864|I DON'T KNOW|THE SHEEPDOGS|I DON'T KNOW
075670999677|17663686|WHO?|THE SHEEPDOGS|WHO?
075670999677|17663688|LEARN MY LESSON|THE SHEEPDOGS|LEARN MY LESSON
075990527497|16537952|LET THEM TALK|HUGH LAURIE|LET THEM TALK
075990527497|16537940|ST. JAMES INFIRMARY|HUGH LAURIE|ST. JAMES INFIRMARY
075990527497|16537944|SWANEE RIVER|HUGH LAURIE|SWANEE RIVER
075990527870|16711376|FAITH (WHEN I LET YOU DOWN)|TAKING BACK SUNDAY|FAITH (WHEN I LET YOU DOWN)
075990527870|3472652|GREAT ROMANCES OF THE 20TH CEN|TAKING BACK SUNDAY|GREAT ROMANCES OF THE 20TH CEN
075990527870|3472653|GHOST MAN ON THIRD (ALBUM VERS|TAKING BACK SUNDAY|GHOST MAN ON THIRD (ALBUM VERS
075990528499|17714870|BLOOD PRESSURE|MUTEMATH|BLOOD PRESSURE
075990528499|17714871|ODD SOUL|MUTEMATH|ODD SOUL
075990528499|18170886|ALLIES|MUTEMATH|ALLIES
075990529038|18352699|BLUE SKY|COMMON|BLUE SKY
075990529038|16725478|GHETTO DREAMS|COMMON FEAT. NAS|GHETTO DREAMS
075990529038|18834615|CELEBRATE|COMMON|CELEBRATE
076920062062|17465930|ADIOS TO CALIFORNIA|JOHN HIATT|ADIOS TO CALIFORNIA
076920062062|17465921|DAMN THIS TOWN|JOHN HIATT|DAMN THIS TOWN
076920062062|17465923|I LOVE THAT GIRL|JOHN HIATT|I LOVE THAT GIRL
077770027685|540503|THAT'S AMORE |DEAN MARTIN|THAT'S AMORE 
077770027685|584590|AIN'T THAT A KICK IN THE HEAD|DEAN MARTIN|AIN'T THAT A KICK IN THE HEAD
077770027685|412775|VOLARE|DEAN MARTIN|VOLARE
077770028966|428733|WISH YOU WERE HERE|PINK FLOYD|WISH YOU WERE HERE
077770028966|445809|COMFORTABLY NUMB|PINK FLOYD|COMFORTABLY NUMB
077770028966|585707|ANOTHER BRICK IN THE WALL (PART II)|PINK FLOYD|ANOTHER BRICK IN THE WALL (PART II)
077770461512|3814402|NIGHT MOVES|BOB SEGER|NIGHT MOVES
077770461512|13338625|OLD TIME ROCK & ROLL|BOB SEGER & THE SILVER BULLET BAND |OLD TIME ROCK & ROLL
077770461512|3445016|THE LITTLE DRUMMER BOY|BOB SEGER & THE SILVER BULLET |THE LITTLE DRUMMER BOY
077770790702|17907019|LUCKY NOW|RYAN ADAMS|LUCKY NOW
077770790702|17907015|CHAINS OF LOVE|RYAN ADAMS|CHAINS OF LOVE
077770790702|17907010|DIRTY RAIN|RYAN ADAMS|DIRTY RAIN
077770944312|16710995|JUST A KISS|LADY ANTEBELLUM|JUST A KISS
077770944312|17715147|WE OWNED THE NIGHT|LADY ANTEBELLUM|WE OWNED THE NIGHT
077770944312|17714063|DANCIN' AWAY WITH MY HEART|LADY ANTEBELLUM|DANCIN' AWAY WITH MY HEART
078030270236|16811756|STREET JOY|WHITE DENIM|STREET JOY
078030270236|16453108|DRUG|WHITE DENIM|DRUG
078030270236|16811753|IT'S HIM!|WHITE DENIM|IT'S HIM!
078030270263|17817720|DON'T FUSS WITH MY MONEY|PENGUIN PRISON|DON'T FUSS WITH MY MONEY
078030270263|15264272|GOLDEN TRAIN|PENGUIN PRISON|GOLDEN TRAIN
078030270263|17817722|THE WORSE IT GETS|PENGUIN PRISON|THE WORSE IT GETS
078630098437|15919696|TONIGHT TONIGHT|HOT CHELLE RAE|TONIGHT TONIGHT
078630098437|18162686|I LIKE IT LIKE THAT|HOT CHELLE RAE FEAT. NEW B|I LIKE IT LIKE THAT
078630098437|18413519|HONESTLY|HOT CHELLE RAE|HONESTLY
078630098717|19254101|IT ALL BELONGS TO ME|MONICA & BRANDY|IT ALL BELONGS TO ME
078630098717|18162680|UNTIL IT'S GONE|MONICA|UNTIL IT'S GONE
078630098717|17536913|ANYTHING (TO FIND YOU)|MONICA FEAT. RICK ROSS|ANYTHING (TO FIND YOU)
079990892592|6651979|NO AIR|JORDIN SPARKS & CHRIS BROWN |NO AIR
079990892592|6519707|WITH YOU|CHRIS BROWN|WITH YOU
079990892592|6771589|BETTER IN TIME|LEONA LEWIS|BETTER IN TIME
081470257023|17133822|6 AM|RAHSAAN PATTERSON|6 AM
081470257023|17239263|CRAZY (BABY)|RAHSAAN PATTERSON|CRAZY (BABY)
081470257023|15440206|EASIER SAID THAN DONE|RAHSAAN PATTERSON|EASIER SAID THAN DONE
081980070881|17066315|REPATRIATED|HANDSOME FURS|REPATRIATED
081980070881|17066314|SERVE THE PEOPLE|HANDSOME FURS|SERVE THE PEOPLE
081980070881|17066313|MEMORIES OF THE FUTURE|HANDSOME FURS|MEMORIES OF THE FUTURE
081980070926|15848115|PINEAPPLE GIRL|MISTER HEAVENLY|PINEAPPLE GIRL
081980070926|17326707|BRONX SNIPER|MISTER HEAVENLY|BRONX SNIPER
081980070926|15848114|MISTER HEAVENLY|MISTER HEAVENLY|MISTER HEAVENLY
081980070935|17393089|YOU'RE TOO WEIRD|FRUIT BATS|YOU'RE TOO WEIRD
081980070935|17393087|SO LONG|FRUIT BATS|SO LONG
081980070935|17393088|SHIVERING FAWN|FRUIT BATS|SHIVERING FAWN
081980070936|16779516|CAN'T YOU TELL|VETIVER|CAN'T YOU TELL
081980070936|16751801|WONDER WHY|VETIVER|WONDER WHY
081980070936|16949728|IT'S BEYOND ME|VETIVER|IT'S BEYOND ME
081980070944|3411146|GOT IT|SEBADOH|GOT IT
081980070944|3411441|ON FIRE|SEBADOH|ON FIRE
081980070944|3411141|MAGNET'S COIL|SEBADOH|MAGNET'S COIL
083710020135|3438573|CRYSTAL FRONTIER (WIDESCREEN V|CALEXICO|CRYSTAL FRONTIER (WIDESCREEN V
083710020135|4067281|ALL THE PRETTY HORSES|CALEXICO|ALL THE PRETTY HORSES
083710020135|8582774|MAN MADE LAKE|CALEXICO|MAN MADE LAKE
086440032115|18162678|AFRICA|RELIENT K|AFRICA
086440032115|18162720|ONE HEADLIGHT|RELIENT K|ONE HEADLIGHT
086440032115|18162679|YOU'RE THE INSPIRATION|RELIENT K|YOU'RE THE INSPIRATION
086440632280|18232044|BASTARD|TYLER, THE CREATOR|BASTARD
086440632280|18232046|FOREST GREEN|ODD FUTURE|FOREST GREEN
086440632280|18232047|FRENCH|TYLER, THE CREATOR FEAT. HODGY BEATS|FRENCH
086440833029|8074204|LIFE IS BEAUTIFUL|SIXX:A.M.|LIFE IS BEAUTIFUL
086440833029|16126571|LIES OF THE BEAUTIFUL PEOPLE|SIXX:A.M.|LIES OF THE BEAUTIFUL PEOPLE
086440833029|16588822|THIS IS GONNA HURT|SIXX:A.M.|THIS IS GONNA HURT
086970253189|16649799|THE LAST GOODBYE|DAVID COOK|THE LAST GOODBYE
086970253189|16871220|FADE INTO ME|DAVID COOK|FADE INTO ME
086970253189|16871228|WE BELIEVE|DAVID COOK|WE BELIEVE
086970266253|3383811|BODY AND SOUL|TONY DUET WITH AMY WINEHOUSE  BENNETT|BODY AND SOUL
086970266253|18218275|THE LADY IS A TRAMP|TONY DUET WITH LADY GAGA BENNETT|THE LADY IS A TRAMP
086970266253|17659986|DON'T GET AROUND MUCH ANYMORE|TONY DUET WITH MICHAEL BUBLE BENNETT|DON'T GET AROUND MUCH ANYMORE
086970272584|1380169|LUCKENBACH, TEXAS (BACK TO THE|WAYLON JENNINGS|LUCKENBACH, TEXAS (BACK TO THE
086970272584|3285805|THEME FROM THE DUKES OF HAZZAR|WAYLON JENNINGS|THEME FROM THE DUKES OF HAZZAR
086970272584|3183031|ARE YOU SURE HANK DONE IT THIS|WAYLON JENNINGS|ARE YOU SURE HANK DONE IT THIS
086970274653|3350960|DRIVE|INCUBUS|DRIVE
086970274653|3364238|PARDON ME|INCUBUS|PARDON ME
086970274653|16583053|ADOLESCENTS|INCUBUS|ADOLESCENTS
086970280718|17007307|I WANT SOMEBODY|KRISTIN CHENOWETH|I WANT SOMEBODY
086970280718|3366277|BORROWED ANGELS|KRISTIN CHENOWETH|BORROWED ANGELS
086970280718|17536834|FATHERS AND DAUGHTERS|KRISTIN CHENOWETH|FATHERS AND DAUGHTERS
086970282710|3380298|SEVEN YEAR ACHE|ROSEANNE CASH|SEVEN YEAR ACHE
086970282710|3382781|TENNESSEE FLAT TOP BOX|ROSANNE CASH|TENNESSEE FLAT TOP BOX
086970282710|11511561|SEA OF HEARTBREAK|ROSANNE CASH FEAT. BRUCE SPRINGSTEEN |SEA OF HEARTBREAK
086970289880|3485392|THE OBVIOUS CHILD|PAUL SIMON|THE OBVIOUS CHILD
086970289880|3482422|BORN AT THE RIGHT TIME|PAUL SIMON|BORN AT THE RIGHT TIME
086970289880|3490272|SHE MOVES ON|PAUL SIMON|SHE MOVES ON
086970290378|3155886|EVERYBODY (BACKSTREET'S BACK)|BACKSTREET BOYS|EVERYBODY (BACKSTREET'S BACK)
086970290378|3155887|AS LONG AS YOU LOVE ME|BACKSTREET BOYS|AS LONG AS YOU LOVE ME
086970290378|3156178|LARGER THAN LIFE|BACKSTREET BOYS|LARGER THAN LIFE
086970291180|16453135|SCARFACE RENACIDO|JORGE SANTA CRUZ|SCARFACE RENACIDO
086970291180|17002061|ELLA ES MI MUJER|JORGE SANTACRUZ|ELLA ES MI MUJER
086970291180|17002014|EL CARTEL DE LA RANA|JORGE SANTACRUZ|EL CARTEL DE LA RANA
086970292307|3384434|STEEL BARS|MICHAEL BOLTON|STEEL BARS
086970292307|16937041|I'M NOT READY|MICHAEL BOLTON & DELTA GOODREM |I'M NOT READY
